"PLT_CN","wbp_occurances","CN","PLOT","LAT","LON","ELEV"
"92","2746461010690",11,"2746461010690",500,43.026585,-109.217349,9640
"93","2746803010690",27,"2746803010690",528,42.977943,-109.399036,10480
"94","2746870010690",21,"2746870010690",530,42.982481,-109.277496,9550
"95","2746923010690",8,"2746923010690",531,42.984395,-109.225929,9470
"96","2747226010690",17,"2747226010690",559,42.933932,-109.343802,10660
"97","2747263010690",40,"2747263010690",562,42.923746,-109.149251,9556
"98","2747358010690",4,"2747358010690",563,42.925623,-109.098956,8910
"99","2747681010690",32,"2747681010690",591,42.887743,-109.150328,10150
"100","2747731010690",9,"2747731010690",592,42.890236,-109.082899,10350
"101","2748304010690",2,"2748304010690",652,42.802457,-109.111293,10600
"102","2748345010690",4,"2748345010690",653,42.801392,-109.047736,9200
"103","2748405010690",4,"2748405010690",654,42.805669,-108.982785,10320
"104","2748619010690",8,"2748619010690",681,42.750972,-109.101861,9800
"105","2748689010690",3,"2748689010690",682,42.745318,-109.033615,10780
"106","2748703010690",39,"2748703010690",683,42.753319,-108.975931,10260
"107","2748772010690",54,"2748772010690",684,42.746255,-108.933398,9720
"108","2749027010690",52,"2749027010690",709,42.701425,-109.047209,10200
"109","2749092010690",23,"2749092010690",710,42.708726,-109.000581,9760
"110","2749481010690",111,"2749481010690",735,42.658014,-109.036367,10500
"111","2749607010690",57,"2749607010690",737,42.66148,-108.926446,10300
"112","2750037010690",26,"2750037010690",761,42.606328,-109.068467,9850
"113","2750104010690",44,"2750104010690",763,42.619903,-108.918072,10000
"114","2750560010690",116,"2750560010690",788,42.571104,-109.009854,10000
"115","2750756010690",2,"2750756010690",791,42.5667,-108.817507,9263
"116","2751186010690",13,"2751186010690",816,42.529977,-108.876011,9120
"117","2754465010690",12,"2754465010690",59,43.777336,-109.262293,10280
"118","2754562010690",1,"2754562010690",62,43.796887,-109.077756,9420
"119","2754777010690",1,"2754777010690",83,43.751536,-109.058093,8980
"120","2765792010690",6,"2765792010690",66,42.863787,-110.808563,8900
"121","2766076010690",9,"2766076010690",73,42.807988,-110.830751,9320
"122","2767106010690",5,"2767106010690",109,42.582695,-110.747267,10515
"123","2767170010690",9,"2767170010690",111,42.576976,-110.630309,10200
"124","2767393010690",25,"2767393010690",118,42.541843,-110.626862,9500
"125","2768000010690",15,"2768000010690",132,42.450042,-110.645648,9400
"126","2768166010690",11,"2768166010690",139,42.409466,-110.630078,9400
"127","2768391010690",5,"2768391010690",146,42.36465,-110.704421,8100
"128","2768486010690",2,"2768486010690",147,42.350931,-110.631635,10145
"129","2768835010690",1,"2768835010690",154,42.313304,-110.699808,8840
"130","2768855010690",10,"2768855010690",155,42.320364,-110.648804,9100
"131","2769049010690",69,"2769049010690",163,42.267206,-110.641823,9500
"132","2778285010690",12,"2778285010690",8,44.965245,-110.796623,8040
"133","2778689010690",2,"2778689010690",20,44.9722,-110.04076,8550
"134","2778844010690",5,"2778844010690",26,44.95573,-109.656884,8770
"135","2778952010690",28,"2778952010690",28,44.968713,-109.541181,9988
"136","2779109010690",2,"2779109010690",44,44.931205,-110.948817,8302
"137","2779206010690",2,"2779206010690",45,44.935637,-110.863899,8650
"138","2779383010690",5,"2779383010690",56,44.913889,-110.182357,9470
"139","2779768010690",1,"2779768010690",67,44.911856,-109.461542,9520
"140","2779798010690",15,"2779798010690",68,44.913879,-109.412078,9580
"141","2780338010690",13,"2780338010690",89,44.877808,-110.476607,9100
"142","2780587010690",8,"2780587010690",95,44.88023,-110.134721,8050
"143","2780765010690",14,"2780765010690",98,44.89107,-109.926869,8800
"144","2780839010690",40,"2780839010690",99,44.879505,-109.848583,8600
"145","2781148010690",14,"2781148010690",105,44.870933,-109.498081,9120
"146","2781250010690",31,"2781250010690",106,44.881325,-109.401579,9750
"147","2781431010690",5,"2781431010690",122,44.836616,-110.866663,8860
"148","2781727010690",5,"2781727010690",126,44.831596,-110.630102,7500
"149","2781997010690",1,"2781997010690",132,44.842205,-110.23019,9080
"150","2782229010690",39,"2782229010690",138,44.830878,-109.847023,9000
"151","2783111010690",11,"2783111010690",165,44.798246,-110.617672,8400
"152","2783193010690",8,"2783193010690",166,44.804368,-110.567052,8860
"153","2783238010690",48,"2783238010690",168,44.800124,-110.421677,9560
"154","2783490010690",3,"2783490010690",171,44.788162,-110.225853,8880
"155","2783652010690",15,"2783652010690",175,44.779081,-109.985825,8960
"156","2783727010690",18,"2783727010690",177,44.799529,-109.862821,9500
"157","2784022010690",7,"2784022010690",183,44.780825,-109.491573,8620
"158","2784698010690",4,"2784698010690",207,44.747874,-110.414619,7980
"159","2785352010690",3,"2785352010690",216,44.735473,-109.848922,9200
"160","2785460010690",7,"2785460010690",218,44.734202,-109.728965,8500
"161","2785992010690",4,"2785992010690",242,44.710279,-110.704099,8260
"162","2786366010690",3,"2786366010690",247,44.703432,-110.353215,8520
"163","2786439010690",12,"2786439010690",248,44.692394,-110.312952,9130
"164","2786508010690",1,"2786508010690",249,44.693855,-110.258665,8582
"165","2786664010690",10,"2786664010690",254,44.6929,-109.914132,8280
"166","2786695010690",1,"2786695010690",255,44.696072,-109.869898,9650
"167","2787732010690",7,"2787732010690",288,44.658207,-109.864328,9481
"168","2788546010690",8,"2788546010690",318,44.621194,-110.050346,9490
"169","2788600010690",42,"2788600010690",319,44.610774,-109.990022,9526
"170","2788726010690",7,"2788726010690",322,44.604538,-109.809928,9249
"171","2788784010690",32,"2788784010690",324,44.609456,-109.683801,9480
"172","2789183010690",24,"2789183010690",346,44.566713,-110.104125,9900
"173","2789262010690",12,"2789262010690",349,44.560869,-109.946814,9059
"174","2789308010690",2,"2789308010690",352,44.557976,-109.74918,9840
"175","2789397010690",27,"2789397010690",354,44.558129,-109.606891,9605
"176","2789658010690",1,"2789658010690",372,44.515989,-110.182915,9233
"177","2790320010690",7,"2790320010690",399,44.486184,-110.169498,8620
"178","2790433010690",34,"2790433010690",402,44.4775,-109.986038,8850
"179","2791141010690",6,"2791141010690",428,44.430477,-110.067262,8840
"180","2791314010690",1,"2791314010690",432,44.424417,-109.80354,7250
"181","2791708010690",4,"2791708010690",455,44.380206,-109.978933,8670
"182","2792409010690",24,"2792409010690",480,44.338649,-110.067465,9465
"183","2792450010690",7,"2792450010690",481,44.339975,-110.010993,8286
"184","2792500010690",4,"2792500010690",482,44.338433,-109.939516,8640
"185","2792651010690",50,"2792651010690",485,44.337348,-109.743847,9800
"186","2792726010690",1,"2792726010690",486,44.333941,-109.681201,7840
"187","2793232010690",3,"2793232010690",510,44.279047,-109.763888,8249
"188","2793288010690",19,"2793288010690",511,44.285438,-109.691061,10200
"189","2793343010690",70,"2793343010690",512,44.284688,-109.627158,9676
"190","2793505010690",4,"2793505010690",517,44.300071,-109.298346,6800
"191","2793676010690",4,"2793676010690",531,44.243558,-110.001339,9000
"192","2793720010690",64,"2793720010690",532,44.257465,-109.945984,9200
"193","2793906010690",14,"2793906010690",535,44.241869,-109.739619,10080
"194","2794026010690",3,"2794026010690",541,44.244451,-109.373845,9300
"195","2794158010690",45,"2794158010690",554,44.203611,-110.068348,9615
"196","2794221010690",21,"2794221010690",556,44.216854,-109.935442,9100
"197","2794305010690",1,"2794305010690",557,44.190186,-109.877112,10100
"198","2794336010690",46,"2794336010690",561,44.213448,-109.617549,9802
"199","2794676010690",5,"2794676010690",579,44.171522,-110.000054,10000
"200","2794690010690",1,"2794690010690",580,44.156543,-109.936528,8386
"201","2794776010690",28,"2794776010690",581,44.168409,-109.860014,9700
"202","2794814010690",6,"2794814010690",582,44.16525,-109.815047,9200
"203","2794936010690",9,"2794936010690",586,44.147777,-109.549059,8955
"204","2795310010690",7,"2795310010690",606,44.11312,-109.823587,9889
"205","2795367010690",23,"2795367010690",607,44.109609,-109.747432,9440
"206","2795579010690",3,"2795579010690",611,44.112733,-109.484934,9840
"207","2795894010690",17,"2795894010690",628,44.059266,-109.932028,10124
"208","2796048010690",17,"2796048010690",631,44.063662,-109.744656,10340
"209","2796262010690",47,"2796262010690",650,44.018463,-109.811737,9600
"210","2796394010690",20,"2796394010690",652,44.019755,-109.683197,9500
"211","2796517010690",4,"2796517010690",660,44.014228,-109.210477,8080
"212","2796708010690",1,"2796708010690",672,43.989022,-109.672653,8600
"213","2796771010690",17,"2796771010690",675,43.971396,-109.486039,9600
"214","2797082010690",1,"2797082010690",686,43.933962,-109.739911,7720
"215","2797483010690",7,"2797483010690",699,43.877509,-109.683842,9200
"216","2797598010690",26,"2797598010690",705,43.856291,-109.801272,9000
"217","2797664010690",21,"2797664010690",709,43.842322,-109.272848,9120
"218","2797752010690",2,"2797752010690",711,43.824135,-109.146524,9630
"219","2804315010690",9,"2804315010690",3,43.443931,-109.893476,9240
"220","2804377010690",6,"2804377010690",4,43.427796,-109.810993,9880
"221","2804445010690",10,"2804445010690",8,43.40613,-109.895399,9640
"222","2804478010690",3,"2804478010690",9,43.387411,-109.824129,10300
"223","2804516010690",9,"2804516010690",10,43.402965,-109.762079,10560
"224","2804546010690",5,"2804546010690",12,43.349566,-110.24932,9880
"225","2804563010690",9,"2804563010690",13,43.350963,-110.190074,10235
"226","2804793010690",5,"2804793010690",20,43.347069,-109.755813,9900
"227","2804944010690",15,"2804944010690",24,43.30597,-110.19437,9750
"228","2805012010690",3,"2805012010690",25,43.319926,-110.132521,9600
"229","2805470010690",6,"2805470010690",40,43.265931,-110.136984,9400
"230","2805548010690",1,"2805548010690",41,43.261928,-110.085291,9200
"231","2805800010690",9,"2805800010690",48,43.214356,-110.573544,10030
"232","2805976010690",11,"2805976010690",54,43.207887,-110.204278,9200
"233","2806119010690",25,"2806119010690",58,43.206779,-109.954397,9200
"234","2806203010690",21,"2806203010690",59,43.210714,-109.894007,10200
"235","2806251010690",3,"2806251010690",61,43.210147,-109.751213,9340
"236","2806425010690",2,"2806425010690",67,43.168053,-110.310595,7182
"237","2806602010690",22,"2806602010690",69,43.173671,-110.204722,8600
"238","2806764010690",5,"2806764010690",73,43.181502,-109.947445,8800
"239","2806826010690",6,"2806826010690",74,43.1575,-109.885126,10800
"240","2807223010690",8,"2807223010690",91,43.134523,-109.752753,10220
"241","2807857010690",8,"2807857010690",107,43.078134,-109.784607,10460
"242","2807889010690",7,"2807889010690",108,43.085362,-109.704608,10700
"243","2807905010690",8,"2807905010690",109,43.070146,-109.634918,10400
"244","2808211010690",9,"2808211010690",126,43.026004,-109.633442,10700
"245","2808630010690",21,"2808630010690",144,42.97528,-109.608812,10500
"246","2808683010690",4,"2808683010690",148,42.948487,-110.517765,9560
"247","2809011010690",1,"2809011010690",165,42.939975,-109.453948,10400
